Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate, Median , 25th percentile of earnings , 75th percentile of earnings 
2305,MATHEMATICS TEACHER EDUCATION,Education,68808,47203,29494,1610,3%," $43,000.00 "," $34,000.00 "," $60,000.00 "
2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,281661,193542,136343,9389,5%," $48,400.00 "," $34,000.00 "," $66,500.00 "
2307,EARLY CHILDHOOD EDUCATION,Education,157079,113460,71133,5890,5%," $35,300.00 "," $27,000.00 "," $45,800.00 "
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,56477,36224,24817,1596,4%," $46,000.00 "," $35,000.00 "," $61,000.00 "
2309,SECONDARY TEACHER EDUCATION,Education,224262,129486,88917,5925,5%," $45,000.00 "," $34,000.00 "," $60,000.00 "
2310,SPECIAL NEEDS EDUCATION,Education,149689,108272,71615,5357,5%," $42,000.00 "," $34,000.00 "," $53,000.00 "
2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,127022,78785,51632,3800,5%," $45,000.00 "," $33,000.00 "," $64,000.00 "
2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,88067,58885,37892,2032,3%," $40,000.00 "," $30,000.00 "," $51,000.00 "
2313,LANGUAGE AND DRAMA EDUCATION,Education,181445,111347,67651,5624,5%," $42,000.00 "," $32,000.00 "," $54,000.00 "
2314,ART AND MUSIC EDUCATION,Education,231861,155159,94756,6629,4%," $42,600.00 "," $32,000.00 "," $56,000.00 "
2399,MISCELLANEOUS EDUCATION,Education,225553,126054,91322,5145,4%," $50,000.00 "," $35,600.00 "," $71,000.00 "
2400,GENERAL ENGINEERING,Engineering,503080,359172,312023,17986,5%," $75,000.00 "," $50,000.00 "," $100,000.00 "
2401,AEROSPACE ENGINEERING,Engineering,65734,44944,38491,1969,4%," $80,000.00 "," $58,000.00 "," $110,000.00 "
2402,BIOLOGICAL ENGINEERING,Engineering,32748,24270,18621,1521,6%," $62,000.00 "," $40,000.00 "," $91,000.00 "
2403,ARCHITECTURAL ENGINEERING,Engineering,19587,13713,11180,1017,7%," $78,000.00 "," $50,000.00 "," $102,000.00 "
2404,BIOMEDICAL ENGINEERING,Engineering,18347,12876,9202,1105,9%," $65,000.00 "," $40,000.00 "," $96,000.00 "
2405,CHEMICAL ENGINEERING,Engineering,188046,131697,109406,6388,5%," $86,000.00 "," $60,000.00 "," $120,000.00 "
2406,CIVIL ENGINEERING,Engineering,358593,262831,220528,14823,6%," $78,000.00 "," $55,000.00 "," $105,000.00 "
2407,COMPUTER ENGINEERING,Engineering,154160,128742,111025,7456,6%," $80,000.00 "," $60,000.00 "," $107,000.00 "
2408,ELECTRICAL ENGINEERING,Engineering,671647,489965,422317,26064,5%," $88,000.00 "," $60,000.00 "," $116,000.00 "
2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,20582,14909,12257,683,5%," $65,000.00 "," $45,000.00 "," $100,000.00 "
2410,ENVIRONMENTAL ENGINEERING,Engineering,13016,9849,8104,472,5%," $70,000.00 "," $50,000.00 "," $95,000.00 "
2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,6264,4120,3350,0,0%," $85,000.00 "," $55,000.00 "," $125,000.00 "
2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,138366,101273,85014,5498,5%," $75,000.00 "," $50,000.00 "," $101,000.00 "
2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,21430,14687,11871,933,6%," $78,000.00 "," $55,000.00 "," $105,000.00 "
2414,MECHANICAL ENGINEERING,Engineering,581529,422207,362053,19360,5%," $80,000.00 "," $59,000.00 "," $110,000.00 "
2415,METALLURGICAL ENGINEERING,Engineering,12818,6939,5462,326,5%," $96,000.00 "," $65,000.00 "," $123,000.00 "
2416,MINING AND MINERAL ENGINEERING,Engineering,10746,7416,6419,366,5%," $92,000.00 "," $52,000.00 "," $124,000.00 "
2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,16094,10690,9226,449,4%," $97,000.00 "," $60,000.00 "," $125,000.00 "
2418,NUCLEAR ENGINEERING,Engineering,9826,7320,6474,527,7%," $95,000.00 "," $65,000.00 "," $128,000.00 "
2419,PETROLEUM ENGINEERING,Engineering,19631,14002,11636,617,4%," $125,000.00 "," $75,000.00 "," $210,000.00 "
2499,MISCELLANEOUS ENGINEERING,Engineering,57006,43906,37194,2744,6%," $70,000.00 "," $50,000.00 "," $100,000.00 "
2500,ENGINEERING TECHNOLOGIES,Engineering,37382,30102,25651,1475,5%," $63,000.00 "," $40,000.00 "," $93,000.00 "
